id,recipe_id,step_number,instruction
1,1,1,"Char ginger and onions over an open flame until blackened. Add to a large pot with beef bones and cover with water."
2,1,2,"Add star anise, cinnamon, and fish sauce. Bring to a boil, then reduce heat and simmer for 3 hours, skimming foam occasionally."
3,1,3,"Soak rice noodles in warm water for 30 minutes, then drain."
4,1,4,"Strain the broth and return to pot. Season with additional fish sauce to taste."
5,1,5,"Thinly slice raw beef sirloin. Cook noodles in boiling water for 2-3 minutes, then divide into bowls."
6,1,6,"Top noodles with raw beef slices, pour hot broth over (this will cook the beef). Garnish with fresh basil, bean sprouts, lime, and chilies."
7,2,1,"Mix yogurt sauce with paprika, cumin, garlic, and lemon juice. Marinate chicken thighs for at least 2 hours or overnight."
8,2,2,"Thread marinated chicken onto skewers. Grill over medium-high heat for 6-8 minutes per side until cooked through and charred."
9,2,3,"Warm pita bread on the grill for 1 minute per side."
10,2,4,"Remove chicken from skewers and slice. Fill pita bread with chicken, lettuce, tomatoes, onions, and additional yogurt sauce."
11,3,1,"Heat oil in a large pot over medium heat. Sauté diced onions, bell peppers, and celery until softened, about 8 minutes."
12,3,2,"Add Cajun seasoning, garlic, and okra. Cook for 5 minutes, stirring frequently."
13,3,3,"Pour in chicken broth and diced tomatoes. Bring to a boil, then reduce heat and simmer for 30 minutes."
14,3,4,"Add shrimp and cook for 5-7 minutes until pink and cooked through."
15,3,5,"Serve over cooked white rice with hot sauce on the side."
16,4,1,"Mix ground beef with finely chopped onions, garlic, ginger, and spices. Form into small meatballs."
17,4,2,"Heat oil in a pan and brown meatballs on all sides, about 8 minutes total. Remove and set aside."
18,4,3,"In the same pan, sauté onions until golden. Add garam masala, turmeric, and tomato sauce. Cook for 5 minutes."
19,4,4,"Stir in yogurt and return meatballs to the pan. Simmer for 20 minutes until sauce thickens."
20,4,5,"Garnish with fresh coriander and serve with rice or naan."
21,5,1,"Cook udon noodles according to package directions. Drain and set aside."
22,5,2,"Slice chicken breast into thin strips. Heat oil in a wok or large pan over high heat."
23,5,3,"Stir-fry chicken for 4-5 minutes until cooked through. Remove and set aside."
24,5,4,"Add broccoli florets to the pan with a splash of water. Stir-fry for 3-4 minutes until tender-crisp."
25,5,5,"Return chicken and noodles to the pan. Pour teriyaki sauce over and toss to combine. Cook for 2 minutes."
26,5,6,"Garnish with sesame seeds and sliced green onions. Serve immediately."
27,6,1,"Cut lamb into cubes and marinate in olive oil, lemon juice, garlic, oregano, salt, and pepper for 2 hours."
